seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,all,never_embedded,eng-nld,stage1,5,0.0056657223796033,-0.0056657223796033,0.0254957507082153,0.970254957507082,0.9645892351274789,0.0170997498559896,359
s42,all,never_embedded,eng-nld,stage1,10,0.0127478753541075,0.0,0.0212464589235127,0.980169971671388,0.9674220963172804,0.024446250601687,359
s42,all,never_embedded,eng-nld,stage2,1,0.0099150141643059,0.0014164305949008,0.0254957507082153,0.9815864022662888,0.971671388101983,0.0198694832198346,359
s42,all,never_embedded,eng-nld,stage2,5,0.0042492917847025,0.0,0.0169971671388101,0.9872521246458924,0.9830028328611898,0.0298160612971191,359
s42,all,never_embedded,eng-nld,stage2,10,0.0042492917847025,-0.0028328611898017,0.0127478753541077,0.9886685552407932,0.9844192634560908,0.0290861458094958,359
s42,all,never_embedded,eng-nld,stage3,1,0.0056657223796033,-0.0028328611898017,0.0155807365439093,0.9886685552407932,0.9830028328611898,0.0295162041238252,359
s42,all,never_embedded,eng-nld,stage3,5,0.0042492917847025,-0.0028328611898016,0.0113314447592067,0.9886685552407932,0.9844192634560908,0.0273974764651575,359
s42,all,never_embedded,eng-nld,stage3,10,0.0014164305949009,-0.0042492917847025,0.0084985835694051,0.9872521246458924,0.9858356940509916,0.0243239404388961,359
s42,all,never_embedded,eng-zho,stage1,0,0.0,0.0,0.0,0.5023584905660378,0.5023584905660378,0.0,219
s42,all,never_embedded,eng-zho,stage1,1,0.0542452830188679,-0.0471698113207547,0.1061910377358487,0.6297169811320755,0.5754716981132075,0.0255341604204359,219
s42,all,never_embedded,eng-zho,stage1,5,0.1533018867924528,0.0542452830188677,0.2334905660377358,0.7382075471698113,0.5849056603773585,0.0821487033686567,219
s42,all,never_embedded,eng-zho,stage1,10,0.1438679245283018,0.0400943396226415,0.2028301886792451,0.7476415094339622,0.6037735849056604,0.0778301886792453,219
s42,all,never_embedded,eng-zho,stage2,1,0.1485849056603774,0.0495283018867923,0.2311320754716981,0.7617924528301887,0.6132075471698113,0.0883841647281812,219
s42,all,never_embedded,eng-zho,stage2,5,0.1627358490566037,0.089622641509434,0.2358490566037736,0.7641509433962264,0.6014150943396226,0.1096213491858359,219
s42,all,never_embedded,eng-zho,stage2,10,0.1415094339622641,0.0801886792452829,0.1981132075471698,0.7665094339622641,0.625,0.0962134918583612,219
s42,all,never_embedded,eng-zho,stage3,1,0.1132075471698113,0.0566037735849056,0.1816037735849056,0.7971698113207547,0.6839622641509434,0.0931334539502025,219
s42,all,never_embedded,eng-zho,stage3,5,0.1320754716981131,0.0778301886792451,0.2005306603773582,0.7830188679245282,0.6509433962264151,0.1045059016110967,219
s42,all,never_embedded,eng-zho,stage3,10,0.1344339622641508,0.0731132075471697,0.2028301886792453,0.7759433962264151,0.6415094339622642,0.1051197553200655,219
s42,all,never_embedded,nld-eng,stage1,0,0.0,0.0,0.0,0.9175257731958762,0.9175257731958762,0.0,245
s42,all,never_embedded,nld-eng,stage1,1,0.0144329896907215,-0.0185567010309277,0.0371649484536079,0.9690721649484536,0.954639175257732,0.0261897748790236,245
s42,all,never_embedded,nld-eng,stage1,5,0.0,-0.0061855670103092,0.0103092783505155,0.9917525773195875,0.9917525773195875,0.028066484325689,245
s42,all,never_embedded,nld-eng,stage1,10,0.002061855670103,-0.002061855670103,0.0123711340206186,0.9938144329896909,0.9917525773195875,0.0310035766884073,245
s42,all,never_embedded,nld-eng,stage2,1,0.0041237113402061,0.0,0.0185567010309278,0.9958762886597938,0.9917525773195875,0.0308773406269723,245
