lang,condition,layer,n_pairs,emb_cos,ctl_cos,cohen_d_cos,p_cos,emb_l2,ctl_l2,cohen_d_l2,p_l2,seed
eng,curriculum,10,578,0.6053027,0.6088447,-0.0941052958369255,0.090635315,7.715146,7.6911454,0.0255545433610677,0.56785375,45
eng,curriculum,11,578,0.623365,0.62839156,-0.1173474863171577,0.03918767,7.6602483,7.6255703,0.0353141464293003,0.42985496,45
eng,curriculum,12,578,0.6607722,0.6665909,-0.132674440741539,0.01966751,23.564085,23.485863,0.0285952948033809,0.56793064,45
nld,curriculum,0,245,0.865595,0.86840683,-0.0971680730581283,0.20128685,0.33060327,0.3316534,-0.0231441110372543,0.7054912,45
nld,curriculum,1,245,0.55361253,0.5598134,-0.1374750286340713,0.07798067,3.230941,3.2455516,-0.0252868626266717,0.6941235,45
nld,curriculum,2,245,0.5368595,0.54029566,-0.106540136039257,0.1750161,4.9102683,4.9433646,-0.0546480864286422,0.40279946,45
nld,curriculum,3,245,0.5447083,0.54679674,-0.0712224245071411,0.3663571,5.785769,5.8381376,-0.0786687135696411,0.22929513,45
nld,curriculum,4,245,0.5615499,0.56383675,-0.0839358568191528,0.30138546,6.501128,6.570789,-0.0968656316399574,0.1509529,45
nld,curriculum,5,245,0.5729948,0.574141,-0.0440825074911117,0.59840286,7.3406987,7.4384885,-0.124247059226036,0.08029663,45
nld,curriculum,6,245,0.57928985,0.57889825,0.0151503374800086,0.858268,7.794891,7.92977,-0.1593450456857681,0.030021105,45
nld,curriculum,7,245,0.58661956,0.58594507,0.0252425577491521,0.76830477,7.882987,8.028943,-0.1697548776865005,0.021613963,45
nld,curriculum,8,245,0.58837605,0.5894445,-0.0388608798384666,0.65242267,7.82363,7.9672074,-0.1715559065341949,0.019401236,45
nld,curriculum,9,245,0.5899416,0.5907467,-0.0274860523641109,0.75820327,7.716837,7.8575015,-0.1712366789579391,0.019182406,45
nld,curriculum,10,245,0.5961939,0.59651,-0.0095028756186366,0.9159529,7.584403,7.713617,-0.1541261225938797,0.03303671,45
nld,curriculum,11,245,0.6099324,0.61362326,-0.0979292094707489,0.28029585,7.485896,7.5791464,-0.1064934879541397,0.13777813,45
nld,curriculum,12,245,0.64751416,0.6502175,-0.0683726817369461,0.45837224,23.134342,23.484543,-0.1490533947944641,0.05691505,45
zho,curriculum,0,279,0.77474034,0.78413707,-0.2958967685699463,0.00045009278,0.4746934,0.461162,0.2011982947587967,0.00019076388,45
zho,curriculum,1,279,0.46632627,0.47034544,-0.096863679587841,0.23547867,4.624522,4.5297656,0.1273184567689895,0.025053624,45
zho,curriculum,2,279,0.48221105,0.48544395,-0.0869827270507812,0.28206447,6.226821,6.1398525,0.1021444648504257,0.090643406,45
zho,curriculum,3,279,0.49200124,0.49472228,-0.0750512778759002,0.34256455,7.1535463,7.081595,0.074054017663002,0.2222713,45
zho,curriculum,4,279,0.50400525,0.5055017,-0.0409308522939682,0.6019394,8.0194,7.951877,0.0610487572848796,0.32731962,45
zho,curriculum,5,279,0.5167044,0.5182671,-0.0432317927479743,0.57516885,8.85266,8.793674,0.0479496531188488,0.45884562,45
zho,curriculum,6,279,0.5209829,0.522014,-0.0279708076268434,0.71166587,9.369132,9.320525,0.0365662164986133,0.5770544,45
zho,curriculum,7,279,0.53042316,0.5311146,-0.0177308544516563,0.8087832,9.548034,9.500746,0.0349559225142002,0.5883786,45
zho,curriculum,8,279,0.5370109,0.5381015,-0.0261959303170442,0.7184941,9.579331,9.498269,0.062606357038021,0.32060963,45
zho,curriculum,9,279,0.5466068,0.54586536,0.0167260728776454,0.819075,9.570704,9.470193,0.0797678530216217,0.20002514,45
zho,curriculum,10,279,0.55695474,0.5533106,0.0750209391117096,0.30482358,9.482342,9.370278,0.0905468538403511,0.14589503,45
zho,curriculum,11,279,0.5721784,0.56488544,0.1323834806680679,0.067222595,9.366653,9.262137,0.0837693884968757,0.1810092,45
zho,curriculum,12,279,0.613213,0.6061636,0.1205614581704139,0.098076835,28.641241,28.623343,0.0050523770041763,0.93893814,45
eng,curriculum,0,578,0.8597883,0.86580616,-0.2085671126842498,7.7571895e-05,0.33970734,0.33791244,0.0411565080285072,0.3405389,46
eng,curriculum,1,578,0.5309199,0.5356299,-0.1017619594931602,0.048188522,3.301808,3.2689416,0.0547228828072547,0.20207492,46
eng,curriculum,2,578,0.47732955,0.47770095,-0.0098974937573075,0.8564442,5.151668,5.152529,-0.0013270328054204,0.9753299,46
eng,curriculum,3,578,0.489389,0.48929745,0.0025868860539048,0.9624778,6.0803056,6.0900474,-0.0137963192537426,0.7476067,46
eng,curriculum,4,578,0.51965785,0.51843333,0.0376957915723323,0.48883396,6.7125072,6.73709,-0.03210274502635,0.46194595,46
eng,curriculum,5,578,0.54005015,0.53854716,0.0506027564406394,0.36873603,7.4602904,7.513519,-0.0646543949842453,0.15352498,46
eng,curriculum,6,578,0.5497791,0.54865265,0.0387817583978176,0.48984444,8.034269,8.103825,-0.0783145353198051,0.09626825,46
eng,curriculum,7,578,0.5600864,0.5607954,-0.0240352302789688,0.6602449,8.134076,8.186379,-0.0555270202457904,0.23455717,46
eng,curriculum,8,578,0.56981504,0.571241,-0.0458854027092456,0.40304226,8.137179,8.165707,-0.0300009679049253,0.5157101,46
eng,curriculum,9,578,0.5827778,0.5860717,-0.0983538478612899,0.077259704,8.00203,8.004074,-0.002161470009014,0.9624049,46
eng,curriculum,10,578,0.5965458,0.6003515,-0.1021347269415855,0.07067441,7.8424625,7.808237,0.0358581766486167,0.43079883,46
eng,curriculum,11,578,0.6187779,0.62369406,-0.1188054159283638,0.034793563,7.694463,7.6434355,0.0514221787452697,0.25614217,46
eng,curriculum,12,578,0.6592975,0.6655249,-0.1484163999557495,0.008133879,23.695053,23.583046,0.0406063944101333,0.413427,46
nld,curriculum,0,245,0.85716975,0.86056995,-0.1225131750106811,0.1226176,0.34146813,0.34157148,-0.0023348336108028,0.9706018,46
nld,curriculum,1,245,0.5198595,0.52638996,-0.1518636345863342,0.052071366,3.33042,3.3137047,0.0292841251939535,0.64049983,46
nld,curriculum,2,245,0.45832664,0.46344152,-0.1389294564723968,0.09493215,5.243718,5.2507777,-0.0115836076438426,0.8582426,46
nld,curriculum,3,245,0.47393003,0.4794819,-0.1582570374011993,0.059065375,6.153336,6.1776314,-0.0367838852107524,0.5636899,46
nld,curriculum,4,245,0.50040925,0.5056192,-0.1625707596540451,0.044967826,6.798386,6.858579,-0.0869476571679115,0.18819503,46
nld,curriculum,5,245,0.52923715,0.5322877,-0.1120054721832275,0.16940588,7.505966,7.6092296,-0.1424060463905334,0.041938245,46
nld,curriculum,6,245,0.5412732,0.543194,-0.0727894902229309,0.3719165,8.070106,8.192379,-0.1538827419281005,0.037789878,46
nld,curriculum,7,245,0.5533075,0.5538137,-0.0186959151178598,0.8155817,8.1355715,8.283807,-0.1769846975803375,0.017744748,46
nld,curriculum,8,245,0.5617474,0.5634825,-0.0605242364108562,0.46890137,8.085302,8.215577,-0.1558821201324463,0.033940002,46
nld,curriculum,9,245,0.5753216,0.5770871,-0.0569497793912887,0.50796103,7.908916,8.027132,-0.14165560901165,0.049459115,46
nld,curriculum,10,245,0.58289284,0.58518404,-0.0667503029108047,0.46159023,7.6916265,7.7977433,-0.1277469992637634,0.07599385,46
nld,curriculum,11,245,0.5983178,0.6027592,-0.113132432103157,0.208362,7.4994884,7.5951242,-0.1108044683933258,0.11710774,46
nld,curriculum,12,245,0.6380036,0.64216775,-0.0981712564826011,0.27423176,23.36271,23.67941,-0.1303381472826004,0.08738901,46
zho,curriculum,0,279,0.7674276,0.77885824,-0.3307563066482544,2.85927e-05,0.4832803,0.469006,0.2039342075586319,7.566956e-05,46
zho,curriculum,1,279,0.4321578,0.4370014,-0.115576758980751,0.16247329,4.7656426,4.6359067,0.1699276268482208,0.0029837159,46
zho,curriculum,2,279,0.4192645,0.4232117,-0.1048211753368377,0.20892324,6.5878386,6.4565177,0.1542680263519287,0.01127276,46
zho,curriculum,3,279,0.43393463,0.43468955,-0.0197591949254274,0.8071401,7.570099,7.4725304,0.1008634716272354,0.099226765,46
zho,curriculum,4,279,0.45493466,0.45610473,-0.0314673148095607,0.6868365,8.349687,8.24832,0.0948427245020866,0.12386388,46
