model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
par-s43,switched,43,8,nld-zho,0.2111334002006018,0.1028084252758274,0.067209780216217,0.5927229523658752,0.606249988079071,0.9909638554216867,0.9566097892069784,0.3073346223551529,0.4002006018054162,10.0
par-s43,switched,43,9,eng-nld,0.8726178535606821,0.6760280842527583,0.1931482255458831,0.7102943062782288,0.5584695339202881,1.0,0.9991797682203236,0.9117503154743064,0.961384152457372,1.0
par-s43,switched,43,9,eng-zho,0.2226680040120361,0.100802407221665,0.0748993158340454,0.6242527961730957,0.7232604026794434,0.993975903614458,0.9630684221338716,0.3341302840551799,0.4473420260782347,7.0
par-s43,switched,43,9,nld-zho,0.1930792377131394,0.08876629889669,0.0693315863609314,0.5943195819854736,0.7261787056922913,0.9909638554216867,0.9547392176529588,0.2910400414791561,0.384653961885657,10.0
par-s43,switched,43,10,eng-nld,0.8390170511534604,0.5867602808425275,0.1926789283752441,0.7094611525535583,0.6365461349487305,1.0,0.9989108892943892,0.8911433582042797,0.9538615847542627,1.0
par-s43,switched,43,10,eng-zho,0.175025075225677,0.059679037111334,0.0720881819725036,0.6206834316253662,0.8753830194473267,0.9879518072289156,0.945149706146552,0.2695774844232725,0.3585757271815446,13.0
par-s43,switched,43,10,nld-zho,0.1429287863590772,0.0536609829488465,0.0648137629032135,0.5940338373184204,0.8834859132766724,0.9839357429718876,0.9362031878768836,0.2322241521185156,0.312938816449348,17.0
par-s43,switched,43,11,eng-nld,0.7647943831494484,0.4739217652958877,0.1857848763465881,0.7010658383369446,0.7123265862464905,1.0,0.998477359790214,0.8439297239473244,0.9393179538615848,1.0
par-s43,switched,43,11,eng-zho,0.111334002006018,0.037111334002006,0.0621006190776824,0.6087594628334045,1.0360838174819946,0.9703815261044176,0.9049946022807376,0.1890107160878997,0.2557673019057171,30.5
par-s43,switched,43,11,nld-zho,0.0892678034102306,0.029087261785356,0.0559995286166667,0.5846177935600281,1.0470832586288452,0.9678714859437751,0.8962147486636617,0.1601363720289059,0.2166499498495486,33.0
par-s43,switched,43,12,eng-nld,0.6905717151454362,0.3605817452357071,0.1564537286758422,0.6950164437294006,0.7159872651100159,1.0,0.9975740474435354,0.7906061495875102,0.9102306920762286,1.0
par-s43,switched,43,12,eng-zho,0.0667001003009027,0.0230692076228686,0.0490514561533927,0.5859007239341736,1.153185486793518,0.9427710843373494,0.8498225600496268,0.1254456624785742,0.1735205616850551,58.0
par-s43,switched,43,12,nld-zho,0.0546639919759277,0.0190571715145436,0.0446941666305065,0.563637375831604,1.1639800071716309,0.9347389558232932,0.8423941503224534,0.1070286862126097,0.1404212637913741,66.0
par-s44,switched,44,0,eng-nld,0.3520561685055166,0.1950852557673019,0.0652826428413391,0.6349623799324036,0.5682156682014465,0.9949799196787148,0.9253130878579514,0.421593495197149,0.49197592778335,6.0
par-s44,switched,44,0,eng-zho,0.0361083249749247,0.0195586760280842,0.0307820737361907,0.5109894871711731,0.9580737352371216,0.821285140562249,0.745399854181017,0.0660320493279213,0.0832497492477432,179.0
par-s44,switched,44,0,nld-zho,0.0381143430290872,0.0170511534603811,0.0289622247219085,0.495990127325058,0.97258198261261,0.8082329317269077,0.7349206253298046,0.0667453712720652,0.0832497492477432,192.0
par-s44,switched,44,1,eng-nld,0.7708124373119358,0.5436308926780341,0.103806734085083,0.6075401306152344,0.4114252030849457,1.0,0.9949703528255448,0.823451612457287,0.8841524573721163,1.0
par-s44,switched,44,1,eng-zho,0.1494483450351053,0.0712136409227683,0.0509833097457885,0.5293288826942444,0.5342022180557251,0.9789156626506024,0.9166404837000962,0.231230116709711,0.3074222668004012,22.0
par-s44,switched,44,1,nld-zho,0.1359077231695085,0.0672016048144433,0.04710054397583,0.5151841044425964,0.5472854971885681,0.9718875502008032,0.9085252746190378,0.2107651492201215,0.2768304914744233,29.0
par-s44,switched,44,2,eng-nld,0.7527582748244734,0.4864593781344032,0.0573602318763732,0.6935493350028992,0.3103911876678467,1.0,0.9946652205612824,0.8125259009932411,0.8841524573721163,1.0
par-s44,switched,44,2,eng-zho,0.179037111334002,0.0752256770310932,0.0333797931671142,0.6029573678970337,0.3912741541862488,0.9849397590361446,0.9421829746266912,0.2657763874977595,0.3430290872617854,16.0
par-s44,switched,44,2,nld-zho,0.1424272818455366,0.0707121364092276,0.0317801833152771,0.5928590893745422,0.3985923826694488,0.9809236947791165,0.9289600729900546,0.2267667223366111,0.3029087261785356,20.0
par-s44,switched,44,3,eng-nld,0.80641925777332,0.5992978936810431,0.0716802477836608,0.679600179195404,0.3107182383537292,1.0,0.9965544223030536,0.8551239154007386,0.9142427281845537,1.0
par-s44,switched,44,3,eng-zho,0.212136409227683,0.1203610832497492,0.0422269701957702,0.5890190005302429,0.3953777551651001,0.9909638554216867,0.9536269450923052,0.3066683407027307,0.399197592778335,10.0
par-s44,switched,44,3,nld-zho,0.1554663991975927,0.084754262788365,0.0391455292701721,0.5791003704071045,0.4099204838275909,0.9859437751004017,0.9419045288475868,0.2522787716800093,0.3450351053159478,15.0
par-s44,switched,44,4,eng-nld,0.8620862587763289,0.7382146439317954,0.0956559777259826,0.6748135685920715,0.3183421790599823,1.0,0.9982447342026078,0.9040451566419018,0.954864593781344,1.0
par-s44,switched,44,4,eng-zho,0.2557673019057171,0.1594784353059177,0.0558871030807495,0.5843532085418701,0.4052742421627044,0.9944779116465864,0.9633312588367512,0.3618714461174684,0.4729187562688064,6.5
par-s44,switched,44,4,nld-zho,0.1965897693079237,0.1148445336008024,0.0513327717781066,0.5681474208831787,0.4226826727390289,0.9909638554216867,0.9534245306199725,0.3023661647961596,0.4127382146439318,10.0
par-s44,switched,44,5,eng-nld,0.90320962888666,0.8099297893681043,0.109512984752655,0.6822967529296875,0.302218496799469,1.0,0.999131933954474,0.9336442526366664,0.9689067201604814,1.0
par-s44,switched,44,5,eng-zho,0.2873620862587763,0.1855566700100301,0.0592814683914184,0.6009479761123657,0.4137414097785949,0.9959839357429718,0.970444969446492,0.3991971254962498,0.5175526579739218,5.0
par-s44,switched,44,5,nld-zho,0.2467402206619859,0.1444332998996991,0.0551486611366272,0.5770736336708069,0.4240951836109161,0.993975903614458,0.9626474805943936,0.350637643299389,0.4533600802407221,7.0
par-s44,switched,44,6,eng-nld,0.9052156469408223,0.7993981945837513,0.1174334287643432,0.6922004818916321,0.3360409438610077,1.0,0.9992855071237812,0.9352431822085344,0.970912738214644,1.0
par-s44,switched,44,6,eng-zho,0.3104312938816449,0.1820461384152457,0.0637398958206176,0.610027551651001,0.4458894431591034,0.9969879518072288,0.9734298276355172,0.4200513225325891,0.5441323971915747,4.0
par-s44,switched,44,6,nld-zho,0.2668004012036108,0.1519558676028084,0.0592833757400512,0.578102707862854,0.4522081911563873,0.993975903614458,0.9661872162672756,0.3689323178175011,0.4744232698094283,7.0
par-s44,switched,44,7,eng-nld,0.9102306920762286,0.7768304914744233,0.1289318203926086,0.701218843460083,0.3667605817317962,1.0,0.9993711052837226,0.9387079178395448,0.9739217652958876,1.0
par-s44,switched,44,7,eng-zho,0.3159478435305918,0.1675025075225676,0.0683284997940063,0.6185398101806641,0.4982631504535675,0.9969879518072288,0.9748487430161972,0.431268409669115,0.5606820461384152,4.0
par-s44,switched,44,7,nld-zho,0.2818455366098295,0.1479438314944834,0.0629273653030395,0.5879088044166565,0.5044752955436707,0.9949799196787148,0.9687017880952092,0.3819418756626516,0.4834503510531595,6.0
par-s44,switched,44,8,eng-nld,0.8961885656970913,0.7637913741223671,0.158293604850769,0.7033098340034485,0.4338468015193939,1.0,0.9992870176795444,0.9301811412359052,0.9744232698094284,1.0
par-s44,switched,44,8,eng-zho,0.3039117352056169,0.1499498495486459,0.0737783312797546,0.6213046908378601,0.5793384313583374,0.9969879518072288,0.974854281720664,0.421534832676578,0.5481444332998997,4.0
par-s44,switched,44,8,nld-zho,0.2693079237713139,0.1313941825476429,0.0688543319702148,0.5873165726661682,0.5903093814849854,0.9949799196787148,0.9674726992221644,0.3751198787919186,0.4864593781344032,6.0
